groupe;type;filigrane;apprend;taille;nb_images;nb_produits;categories;image_reference
G093;photo;;caillebotis galvanisés au dépôt;1920x1920;5;5;quincaillerie-caillebotis-marches;quincaillerie-caillebotis-marches/0005058_b7ef002650b94490b5e1472492a340c2.jpeg
G094;photo;aucun (vu à la loupe);marche perforée galvanisée : relief antidérapant, trou de fixation latéral (origine incertaine);667x667;3;3;quincaillerie-caillebotis-marches;quincaillerie-caillebotis-marches/0005089_d6776fe095cc47ad95ae715325d5b198.jpeg
G095;photo;aucun (vu à la loupe);caillebotis galvanisés en pile : maille rectangulaire, barres porteuses (origine incertaine);667x667;10;10;quincaillerie-caillebotis-marches;quincaillerie-caillebotis-marches/0005092_0da4a27b991742c383155abca3d496f9.jpeg
G096;packshot;;meuleuse Flex : photo fabricant;768x768;1;1;quincaillerie-outillage;quincaillerie-outillage/0005145_21c824bdbb2341dd892922f49cbe60bf.jpeg
G097;schema;;meuleuse Flex : plan coté fabricant;768x768;1;1;quincaillerie-outillage;quincaillerie-outillage/0005146_256e1bde058a490ba49eb99bfab86b75.jpeg
G098;packshot;;DL Chemicals Parasilico : cartouche détourée;625x625;1;1;quincaillerie-protection-chimie-colles-etancheite;quincaillerie-protection-chimie-colles-etancheite/0005022_f5c2208bccd4452d8fe021e3057168de.jpeg
G099;packshot;;DL Chemicals Parabond 600 : cartouche détourée;625x625;1;1;quincaillerie-protection-chimie-colles-etancheite;quincaillerie-protection-chimie-colles-etancheite/0005023_6032948e10a640dda4f372ea3f7485f8.jpeg
G100;packshot;;DL Chemicals Parabond 800 : cartouche détourée;625x625;1;1;quincaillerie-protection-chimie-colles-etancheite;quincaillerie-protection-chimie-colles-etancheite/0005026_222b8c420e0e446fba3bf272b9035e44.jpeg
G101;packshot;;DL Chemicals Parachim : cartouche détourée;591x591;1;1;quincaillerie-protection-chimie-colles-etancheite;quincaillerie-protection-chimie-colles-etancheite/0005024_1fb620f2a0ca47b9be67e699d60c06e1.jpeg
G102;rayon;;cartouches Parachim en rayon;1920x1920;1;1;quincaillerie-protection-chimie-colles-etancheite;quincaillerie-protection-chimie-colles-etancheite/0005025_b0570a776df345ed9a80acc579920a30.jpeg
G103;packshot;;gamme Zinga : visuel fabricant;625x625;2;2;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005013_11108bd9798b49ed98af53b263715a08.jpeg
G104;packshot;;Zingatar / Zingatarfree : visuel fabricant;591x591;2;2;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005000_922daabf10b74abaa5ba9ae1ada1e593.jpeg
G105;packshot;;Zingasolv : visuel fabricant;591x591;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005004_47154b38881f489aacb151f3658cb5ac.jpeg
G106;packshot;;Zingaspray : visuel fabricant;591x591;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005009_zingaspray-500ml.jpeg
G107;packshot;;Zingaluspray : visuel fabricant;591x591;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005011_8890917dc6904cffa888f11f1723aea7.jpeg
G108;rayon;;Zingatarfree en rayon;1920x1920;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005003_c80adcd54a4b4d148eb3793c861f0ddf.jpeg
G109;rayon;;Zingasolv en rayon;1920x1920;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005005_68b6789b55694cc19c86ec067f69c623.jpeg
G110;rayon;;Zinga 1 kg en rayon;1920x1920;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005008_96fbcc478755487a92d5a59369d05eb9.jpeg
G111;rayon;;Zingaspray en rayon;1920x1920;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005010_zingaspray-500ml.jpeg
G112;rayon;;Zingaluspray en rayon;1920x1920;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005012_502e001e497b4342bf21ed30386e3f84.jpeg
G113;rayon;;Zingatarfree 5 L en rayon;1570x1570;1;1;quincaillerie-protection-chimie-galvanisation-a-froid;quincaillerie-protection-chimie-galvanisation-a-froid/0005001_ffe124d9372d41c6bd10d23e7dde3cf0.jpeg
G114;banque;;pot de peinture générique gris-bleu (pas le produit);625x625;2;2;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005033_efb9c86d937b4b96b49169bb0b0ddede.jpeg
G115;banque;;pot de peinture générique brun (pas le produit);591x591;2;2;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005029_499ef9347d6e43f09ea7e44f3027b15f.jpeg
G116;banque;;pot de peinture générique blanc (pas le produit);591x591;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005030_4308b70261fa4d75b41878ab944046c6.jpeg
G117;banque;;pot de peinture générique noir (pas le produit);591x591;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005034_b84068e5688d4bd784eae274a08ef9dd.jpeg
G118;rayon;;étiquette All Meta Prim Coat;1920x1920;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005035_55c8f0b757054f699927cd92a57a275e.jpeg
G119;rayon;;Vibol Prim Coat RAL 7016 en rayon;1920x1920;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005036_ccc9c6d498464af88101fc03e831deac.jpeg
G120;rayon;;Vibol Prim Coat RAL 8012 5 L en rayon;1920x1920;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005037_9c0d748bc8594becaea1c6db6cf77b67.jpeg
G121;rayon;;Vibol Prim Coat en rayon;1920x1920;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005038_2dc4a2a4653b422086bfd9c4a9b4231b.jpeg
G122;rayon;;Vibol Prim Coat RAL 8012 1 L en rayon;1920x1920;1;1;quincaillerie-protection-chimie-peintures-primaires;quincaillerie-protection-chimie-peintures-primaires/0005039_602a5c609cdd418cb9b57f8567dceacb.jpeg
G123;photo;;sachet de vis TH P5 6,3x55 + Vulca : tête hexagonale, rondelle EPDM, zingué blanc;625x625;1;1;quincaillerie-visserie;quincaillerie-visserie/0004094_068c4102eb004d67be382f01c7011752.jpeg
G124;photo;;sachet de vis TH P5 6,3x100 + Vulca;625x625;1;1;quincaillerie-visserie;quincaillerie-visserie/0004096_a4e4cae3917048d1bedaf6f21fbfe287.jpeg
G125;photo;;sachet de vis TH P5 6,3x76 : zingué jaune;625x625;1;1;quincaillerie-visserie;quincaillerie-visserie/0004102_0617f558a7e946e6b9c2443bca9e59dc.jpeg
G126;photo;;sachet de vis TH 6,3x100 Rapidbois + Vulca : zingué jaune;625x625;1;1;quincaillerie-visserie;quincaillerie-visserie/0004103_898ddad0a93c4e3790de637445cd4c6d.jpeg
G127;photo;;sachet de vis TH 6,3x55 Rapidbois + Vulca;625x625;1;1;quincaillerie-visserie;quincaillerie-visserie/0004104_3cba36203d9945f59cbe3704fa510dfa.jpeg
G128;photo;;sachet de vis TH 6,3x100 + Vulca;625x625;1;1;quincaillerie-visserie;quincaillerie-visserie/0004105_9698a98826b14082a4798c6308cc5d5f.jpeg
G129;rendu;;tasseaux imitation bois « Version Maxi » (fabricant);1200x1200;2;2;toiture-bardage-bardage-imitation-bois;toiture-bardage-bardage-imitation-bois/0005128_tasseau-40x40-71x300cm-parement-chene-clair.jpeg
G130;rendu;;tasseaux imitation bois en vue rapprochée (fabricant);1200x1200;2;2;toiture-bardage-bardage-imitation-bois;toiture-bardage-bardage-imitation-bois/0005129_tasseau-40x40-71x300cm-parement-chene-clair.jpeg
G131;ambiance;;bardage imitation bois posé (rendu fabricant);1200x1200;2;2;toiture-bardage-bardage-imitation-bois;toiture-bardage-bardage-imitation-bois/0005130_tasseau-40x40-71x300cm-parement-chene-clair.jpeg
G132;schema;;profil de tasseau coté : 40 mm, 37 mm, largeur 710 mm (fabricant);1200x1200;2;2;toiture-bardage-bardage-imitation-bois;toiture-bardage-bardage-imitation-bois/0005131_tasseau-40x40-71x300cm-parement-chene-clair.jpeg
G133;photo;;panneaux isolés en pile au dépôt : âme mousse crème, parements acier gris;1920x1920;8;8;toiture-bardage-panneaux-isoles-eurocopre-monolamiera-eco;toiture-bardage-panneaux-isoles-eurocopre-monolamiera-eco/0004918_3abf8c3b41dd4920b3d535e1a0a41634.jpeg
G134;photo;;panneaux isolés en pile au dépôt;1920x1920;8;8;toiture-bardage-panneaux-isoles-eurocopre-monolamiera-eco;toiture-bardage-panneaux-isoles-eurocopre-monolamiera-eco/0004919_47d9e88972e34317bcc70fe7adc95ea7.jpeg
G135;rendu;;tôle profil 30.200.1000, gris (Grosjean);1920x1920;7;7;toiture-bardage-toles-profilees-profil-30-200-1000;toiture-bardage-toles-profilees-profil-30-200-1000/0003835_tole-302001000-ral-7016-200x105cm.jpeg
G136;photo;;tôle profilée trapézoïdale, métal nu (origine incertaine);1920x1919;7;7;toiture-bardage-toles-profilees-profil-30-200-1000;toiture-bardage-toles-profilees-profil-30-200-1000/0003836_tole-302001000-ral-7016-200x105cm.jpeg
G137;schema;;tôle profilée : longueur utile, longueur (Grosjean);1920x1920;7;7;toiture-bardage-toles-profilees-profil-30-200-1000;toiture-bardage-toles-profilees-profil-30-200-1000/0003837_tole-302001000-ral-7016-200x105cm.jpeg
