slug;nom;famille;donnee;valeur;unite;source;supposee;alertes
carre-plein-de-20x20mm-en-acier;Carré plein de 20x20mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
carre-plein-de-6x6mm-en-acier;Carré plein de 6x6mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-6x6mm-en-acier;Carré plein de 6x6mm en acier;carre-plein;a;6;mm;nom du produit;;
carre-plein-de-6x6mm-en-acier;Carré plein de 6x6mm en acier;carre-plein;poids;0,29;kg/m;site actuel — fiche produit;;
carre-plein-de-6x6mm-en-acier;Carré plein de 6x6mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
carre-plein-de-8x8mm-en-acier;Carré plein de 8x8mm en acier;carre-plein;serie;CARRE;;nom du produit;;
carre-plein-de-8x8mm-en-acier;Carré plein de 8x8mm en acier;carre-plein;a;8;mm;nom du produit;;
carre-plein-de-8x8mm-en-acier;Carré plein de 8x8mm en acier;carre-plein;poids;0,51;kg/m;site actuel — fiche produit;;
carre-plein-de-8x8mm-en-acier;Carré plein de 8x8mm en acier;carre-plein;finition;BRUT;;aucune photo du site actuel : finition des barres laminées à chaud — non affichée;oui;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;a;100;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;b;100;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;t;10;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;r1;12;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;r2;6;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;poids;15,38;kg/m;site actuel — fiche produit;;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-100x100x10mm-acier-lac;Cornière égale 100x100x10mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;a;20;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;b;20;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;t;3;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;r1;3,5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;r2;1,8;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;poids;0,9;kg/m;site actuel — fiche produit;;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-20x20x3mm-acier-lac;Cornière égale 20x20x3mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;a;25;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;b;25;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;t;3;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;r1;3,5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;r2;1,8;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;poids;1,15;kg/m;site actuel — fiche produit;;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-25x25x3mm-acier-lac;Cornière égale 25x25x3mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;a;30;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;b;30;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;t;3;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;r1;5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;r2;2,5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;poids;1,39;kg/m;site actuel — fiche produit;;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-30x30x3mm-acier-lac;Cornière égale 30x30x3mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;a;40;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;b;40;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;t;3;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;r1;6;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;r2;3;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;poids;1,88;kg/m;site actuel — fiche produit;;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-40x40x3mm-acier-lac;Cornière égale 40x40x3mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;a;40;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;b;40;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;t;4;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;r1;6;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;r2;3;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;poids;2,48;kg/m;site actuel — fiche produit;;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-40x40x4mm-acier-lac;Cornière égale 40x40x4mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;serie;L;;nom du produit;;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;a;50;mm;nom du produit;;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;b;50;mm;nom du produit;;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;t;3;mm;nom du produit;;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;r1;7;mm;format voisin 50x50x4 de CE EGALE LAC.pdf (forme du modèle, non affiché);oui;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;r2;3,5;mm;format voisin 50x50x4 de CE EGALE LAC.pdf (forme du modèle, non affiché);oui;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;poids;2,53;kg/m;site actuel — fiche produit — écart > 3 % avec le poids théorique 2.33 kg/m, non affiché (questions en attente);oui;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x3mm-acier-lac;Cornière égale 50x50x3mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;50x50x3 absent du tableau fournisseur : rayons supposés (50x50x4) | poids site 2.53 kg/m ≠ théorique 2.33 kg/m (écart > 3 %) : non affiché
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;a;50;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;b;50;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;t;5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;r1;7;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;r2;3,5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;poids;3,86;kg/m;site actuel — fiche produit;;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-50x50x5mm-acier-lac;Cornière égale 50x50x5mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;a;60;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;b;60;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;t;6;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;r1;8;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;r2;4;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;poids;5,55;kg/m;site actuel — fiche produit;;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-60x60x6mm-acier-lac;Cornière égale 60x60x6mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;serie;L;;nom du produit;;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;a;80;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;b;80;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;t;8;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;r1;10;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;r2;5;mm;fiche fournisseur publiée sur le site — CE EGALE LAC.pdf (EN 10056);;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;poids;9,89;kg/m;site actuel — fiche produit;;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-egale-80x80x8mm-acier-lac;Cornière égale 80x80x8mm Acier LAC;corniere-egale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;serie;L;;nom du produit;;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;a;100;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;b;50;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;t;6;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;r1;9;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;r2;4,5;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;poids;7,02;kg/m;site actuel — fiche produit;;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-inegale-100x50x6mm-acier-lac;Cornière inégale 100x50x6mm Acier LAC;corniere-inegale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;serie;L;;nom du produit;;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;a;150;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;b;100;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;t;10;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;r1;13;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;r2;6,5;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;poids;19,26;kg/m;site actuel — fiche produit;;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-inegale-150x100x10mm-acier-lac;Cornière inégale 150x100x10mm Acier LAC;corniere-inegale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;serie;L;;nom du produit;;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;a;200;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;b;100;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;t;10;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;r1;15;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;r2;7,5;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;poids;23,51;kg/m;site actuel — fiche produit;;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-inegale-200x100x10mm-acier-lac;Cornière inégale 200x100x10mm Acier LAC;corniere-inegale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;serie;L;;nom du produit;;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;a;60;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;b;40;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;t;5;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;r1;6;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;r2;3;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;poids;3,89;kg/m;site actuel — fiche produit;;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;finition;BRUT;;vraie photo du site actuel (cornière inégale, groupe G020) — non affichée : la fiche du site ne précise pas la finition;oui;
corniere-inegale-60x40x5mm-acier-lac;Cornière inégale 60x40x5mm Acier LAC;corniere-inegale;procede;Laminé à chaud;;site actuel — description de la fiche;;
corniere-inegale-70x50x6mm-acier-lac;Cornière inégale 70x50x6mm Acier LAC;corniere-inegale;serie;L;;nom du produit;;
corniere-inegale-70x50x6mm-acier-lac;Cornière inégale 70x50x6mm Acier LAC;corniere-inegale;a;70;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-70x50x6mm-acier-lac;Cornière inégale 70x50x6mm Acier LAC;corniere-inegale;b;50;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
corniere-inegale-70x50x6mm-acier-lac;Cornière inégale 70x50x6mm Acier LAC;corniere-inegale;t;6;mm;fiche fournisseur publiée sur le site — CI-3.pdf (EN 10056);;
