ID;URL;Chemin;Page;H1_ou_nom;Type;Parent;Template;Accessible;Sitemap;Priorite;Title;MetaDescLen;H1;Canonical;Lastmod;ProfondeurBC;Donnees;URL_cible_recommandee;Action_recommandee
U019;https://www.aciersgrosjean.be/tube-rond-acier;/tube-rond-acier;Tube rond acier;Tube rond en acier – Résistant, polyvalent et prêt à l’emploi;subcategory;Tube;T03 Catégorie feuille;200;oui;P1;Tube rond en acier – Résistant, polyvalent et prêt à l’emploi;242;1;self;29-04-26;4;s0~p6~pg2~dc665;/acier/tubes/tube-rond;301
U020;https://www.aciersgrosjean.be/tube-rectangle-acier;/tube-rectangle-acier;Tube rectangle acier;Tube rectangulaire acier – Robustesse et performance pour vos constructions;subcategory;Tube;T03 Catégorie feuille;200;oui;P1;Tube rectangulaire acier – Robustesse et performance pour vos constructions;157;1;self;29-04-26;4;s0~p6~pg4~dc950;/acier/tubes/tube-rectangulaire;301
U021;https://www.aciersgrosjean.be/tube-carré-acier-3;/tube-carré-acier-3;Tube carré acier;Tube carré acier;subcategory;Tube;T03 Catégorie feuille;200;oui;P1;Tube carré en acier – Robuste, polyvalent et disponible sur mesure;187;1;self;29-04-26;4;s0~p6~pg6~dc739;/acier/tubes/tube-carre;301
U022;https://www.aciersgrosjean.be/tôle-3;/tôle-3;Tôle;Tôles et Plaques en Acier – Vente en ligne et sur mesure;subcategory;Acier;T02 Catégorie parent;200;oui;P1;Tôles et Plaques en Acier – Vente en ligne et sur mesure;180;1;self;29-04-26;3;s9~p6~pg13~dc615;/acier/toles;301
U023;https://www.aciersgrosjean.be/tôle-laminé-à-chaud;/tôle-laminé-à-chaud;Tôle laminé à chaud;Tôle laminée à chaud S235JR – Acier de construction polyvalent;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;Tôle laminée à chaud S235JR – Acier de construction;158;1;self;22-05-26;4;s0~p6~pg6~dc590;/acier/toles/tole-laminee-a-chaud;301
U024;https://www.aciersgrosjean.be/tôle-larmée-en-acier;/tôle-larmée-en-acier;Tôle larmée en acier;Tôle larmée en acier – Antidérapante et robuste;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;Tôle larmée en acier – Antidérapante et robuste;206;1;self;22-05-26;4;s0~p6~pg1~dc645;/acier/toles/tole-larmee;301
U025;https://www.aciersgrosjean.be/tôle-galvanisée;/tôle-galvanisée;Tôle galvanisée;Tôle galvanisée - Protection contre la corrosion et la rouille;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;Tôle galvanisée - Protection contre la corrosion et la rouille;0;1;self;22-05-26;4;s0~p6~pg2~dc654;/acier/toles/tole-galvanisee;301
U026;https://www.aciersgrosjean.be/tôle-électrozinguée;/tôle-électrozinguée;Tôle électrozinguée;Tôle électrozinguée;subcategory;Tôle;T03 Catégorie feuille;200;oui;P2;Tôle électrozinguée;0;1;self;22-05-26;4;s0~p0~pg1~dc611;/acier/toles/tole-electrozinguee;301 (page de contenu à réalimenter ou fusionner)
U027;https://www.aciersgrosjean.be/tôle-quarto;/tôle-quarto;Tôle quarto;Tôle quarto - Grande résistance mécanique;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;Tôle quarto;0;1;self;22-05-26;4;s0~p1~pg1~dc576;/acier/toles/tole-quarto;301
U028;https://www.aciersgrosjean.be/tôle-corten;/tôle-corten;Tôle Corten;Tôle Corten - L'acier qui rouille... naturellement !;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;Tôle Corten;0;1;self;22-05-26;4;s0~p5~pg1~dc956;/acier/toles/tole-corten;301
U029;https://www.aciersgrosjean.be/tôle-décapée;/tôle-décapée;Tôle décapée;Tôle décapée - Meilleure usinabilité;subcategory;Tôle;T03 Catégorie feuille;200;oui;P2;Tôle décapée;0;1;self;22-05-26;4;s0~p0~pg1~dc654;/acier/toles/tole-decapee;301 (page de contenu à réalimenter ou fusionner)
U030;https://www.aciersgrosjean.be/tôle-laminé-à-froid-6;/tôle-laminé-à-froid-6;Tôle laminé à froid;Tôle laminée à froid S235JR - Acier de précision;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;tôle laminée à froid - Acier de précision;196;1;self;22-05-26;4;s0~p6~pg2~dc684;/acier/toles/tole-laminee-a-froid;301
U031;https://www.aciersgrosjean.be/tôle-perforée;/tôle-perforée;Tôle perforée;Tôles Perforées en Acier et Acier Galvanisé : Trous Ronds, Carrés et Aléatoires;subcategory;Tôle;T03 Catégorie feuille;200;oui;P1;Tôles Perforées Acier & Galva | Ronds, Carrés, Aléatoires | Aciers Grosjean;198;1;self;22-05-26;4;s0~p6~pg2~dc610;/acier/toles/tole-perforee;301
U032;https://www.aciersgrosjean.be/poutrelle-4;/poutrelle-4;Poutrelle;Poutrelle acier – Solidité et polyvalence pour toutes vos constructions;subcategory;Acier;T02 Catégorie parent;200;oui;P1;Poutrelle acier – Solidité et polyvalence pour toutes vos constructions;0;1;self;07-07-26;3;s5~p6~pg8~dc510;/acier/poutrelles;301
U033;https://www.aciersgrosjean.be/poutrelle-ipe-2;/poutrelle-ipe-2;Poutrelle IPE;Poutrelle en acier pour la construction IPE;subcategory;Poutrelle;T03 Catégorie feuille;200;oui;P1;Poutrelle IPE en acier – Profilé en I pour constructions légères;205;1;self;08-06-26;4;s0~p6~pg2~dc687;/acier/poutrelles/ipe;301
U034;https://www.aciersgrosjean.be/poutrelle-hem;/poutrelle-hem;Poutrelle HEM;Poutrelle HEM en acier : performance maximale pour vos structures lourdes;subcategory;Poutrelle;T03 Catégorie feuille;200;oui;P2;Poutrelle HEM en acier : performance maximale pour vos structures lourdes;188;1;self;08-06-26;4;s0~p0~pg1~dc803;/acier/poutrelles/hem;301 (page de contenu à réalimenter ou fusionner)
U035;https://www.aciersgrosjean.be/poutrelle-hea;/poutrelle-hea;Poutrelle HEA;Poutrelle HEA en acier : robustesse et polyvalence pour vos constructions;subcategory;Poutrelle;T03 Catégorie feuille;200;oui;P1;Poutrelle HEA en acier : robustesse et polyvalence pour vos constructions;211;1;self;08-06-26;4;s0~p6~pg2~dc813;/acier/poutrelles/hea;301
U036;https://www.aciersgrosjean.be/poutrelle-heb;/poutrelle-heb;Poutrelle HEB;Poutrelle HEB en acier : performance et endurance pour charges lourdes;subcategory;Poutrelle;T03 Catégorie feuille;200;oui;P1;Poutrelle HEB en acier : performance et endurance pour charges lourdes;200;1;self;08-06-26;4;s0~p6~pg2~dc715;/acier/poutrelles/heb;301
U037;https://www.aciersgrosjean.be/poutrelle-upn;/poutrelle-upn;Poutrelle UPN;Poutrelle UPN en acier : robustesse et polyvalence pour vos structures métalliques;subcategory;Poutrelle;T03 Catégorie feuille;200;oui;P1;Poutrelle UPN en acier : robustesse et polyvalence pour vos structures métalliques;213;1;self;08-06-26;4;s0~p6~pg2~dc779;/acier/poutrelles/upn;301
U038;https://www.aciersgrosjean.be/temp;/temp;temp;temp;category;Accueil;T03 Catégorie feuille;200;oui;P3;temp;0;1;self;0001-01-01;2;s0~p0~pg1~dc0;/;301 (fusion : catégorie vide)
U039;https://www.aciersgrosjean.be/aluminium;/aluminium;Aluminium;Aluminium;category;Accueil;T02 Catégorie parent;200;oui;P0;Aluminium;0;1;self;09-07-26;2;s3~p6~pg11~dc154;/aluminium;conserver
U040;https://www.aciersgrosjean.be/tole-alu-2;/tole-alu-2;Tole Alu;Tole Alu;subcategory;Aluminium;T02 Catégorie parent;200;oui;P1;Tôles en Aluminium : Planes & Striées sur Mesure | Grosjean;157;1;self;08-06-26;3;s3~p6~pg3~dc790;/aluminium/toles;301
U041;https://www.aciersgrosjean.be/tôle-striée-en-aluminium;/tôle-striée-en-aluminium;Tôle striée en aluminium;Tôle striée en aluminium;subcategory;Tole Alu;T03 Catégorie feuille;200;oui;P1;Tôle Striée Aluminium (2,5/4 à 5/7mm) Antidérapante | Grosjean;162;1;self;08-06-26;4;s0~p6~pg2~dc752;/aluminium/toles/tole-striee;301
U042;https://www.aciersgrosjean.be/tôle-plane-en-aluminium-2;/tôle-plane-en-aluminium-2;Tôle plane en Aluminium;Tôle plane en Aluminium;subcategory;Tole Alu;T03 Catégorie feuille;200;oui;P1;Tôle Plane en Aluminium sur Mesure | Aciers Grosjean;159;1;self;08-06-26;4;s0~p6~pg2~dc693;/aluminium/toles/tole-plane;301
U043;https://www.aciersgrosjean.be/tôle-bouchonnée-en-aluminium;/tôle-bouchonnée-en-aluminium;Tôle bouchonnée en aluminium;Tôle bouchonnée en aluminium;subcategory;Tole Alu;T03 Catégorie feuille;200;oui;P2;Tôle bouchonnée en aluminium;0;1;self;15-12-25;4;s0~p0~pg1~dc0;/aluminium/toles;301 (fusion : catégorie vide)
U044;https://www.aciersgrosjean.be/produit-long-en-aluminium;/produit-long-en-aluminium;Produit long en Aluminium;Profilés aluminium : cornières, U, T, ronds, carrés & plats;subcategory;Aluminium;T02 Catégorie parent;200;oui;P1;Produit long en Aluminium;0;1;self;07-07-26;3;s7~p6~pg5~dc412;/aluminium/profiles;301
U045;https://www.aciersgrosjean.be/cornière-inégale-en-aluminium;/cornière-inégale-en-aluminium;Cornière inégale en aluminium;Cornière inégale en aluminium;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P2;Cornière inégale en aluminium;0;1;self;15-12-25;4;s0~p0~pg1~dc0;/aluminium/profiles;301 (fusion : catégorie vide)
U046;https://www.aciersgrosjean.be/cornière-égale-en-aluminium;/cornière-égale-en-aluminium;Cornière égale en aluminium;Cornière égale en aluminium;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P1;Cornière égale en aluminium;0;1;self;15-12-25;4;s0~p6~pg2~dc0;/aluminium/profiles/corniere-egale;301
U047;https://www.aciersgrosjean.be/profil-en-u-en-aluminium;/profil-en-u-en-aluminium;Profil en U en Aluminium;Profil en U en Aluminium;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P1;Profil en U en Aluminium;0;1;self;17-12-25;4;s0~p4~pg1~dc0;/aluminium/profiles/profil-u;301
U048;https://www.aciersgrosjean.be/profil-rond-lisse-en-aluminium;/profil-rond-lisse-en-aluminium;Profil rond lisse en aluminium;Profil rond lisse en aluminium;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P2;Profil rond lisse en aluminium;0;1;self;17-12-25;4;s0~p0~pg1~dc0;/aluminium/profiles;301 (fusion : catégorie vide)
U049;https://www.aciersgrosjean.be/carré-plein-en-aluminium;/carré-plein-en-aluminium;Carré plein en aluminium;Profil carré plein en aluminium – robuste, polyvalent et résistant;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P2;Carré plein en aluminium;0;1;self;18-12-25;4;s0~p0~pg1~dc150;/aluminium/profiles/carre-plein;301 (page de contenu à réalimenter ou fusionner)
U050;https://www.aciersgrosjean.be/profil-en-t-en-aluminium;/profil-en-t-en-aluminium;Profil en T en aluminium;Profil en T en aluminium - Léger, résistant & polyvalent;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P1;Profil en T en aluminium;0;1;self;18-12-25;4;s0~p3~pg1~dc141;/aluminium/profiles/profil-t;301
U051;https://www.aciersgrosjean.be/plat-en-aluminium;/plat-en-aluminium;Plat en aluminium;Profil plat en aluminium – léger, robuste et polyvalent.;subcategory;Produit long en Aluminium;T03 Catégorie feuille;200;oui;P1;Plat en aluminium;0;1;self;18-12-25;4;s0~p6~pg2~dc136;/aluminium/profiles/plat;301
U052;https://www.aciersgrosjean.be/tube-alu;/tube-alu;Tube Alu;Tubes aluminium : rond, carré, rectangulaire;subcategory;Aluminium;T02 Catégorie parent;200;oui;P1;Tube Alu;0;1;self;07-07-26;3;s3~p6~pg3~dc382;/aluminium/tubes;301
U053;https://www.aciersgrosjean.be/tube-rectangle-en-aluminium;/tube-rectangle-en-aluminium;Tube rectangle en aluminium;Tube rectangle en aluminium - Robuste, léger et polyvalent;subcategory;Tube Alu;T03 Catégorie feuille;200;oui;P1;Tube rectangle en aluminium;0;1;self;19-12-25;4;s0~p5~pg1~dc265;/aluminium/tubes/tube-rectangulaire;301
U054;https://www.aciersgrosjean.be/tube-carré-en-aluminium;/tube-carré-en-aluminium;Tube carré en aluminium;Tube carré en aluminium - Robuste, léger et polyvalent;subcategory;Tube Alu;T03 Catégorie feuille;200;oui;P1;Tube carré en aluminium;0;1;self;19-12-25;4;s0~p6~pg2~dc261;/aluminium/tubes/tube-carre;301
U055;https://www.aciersgrosjean.be/tube-rond-en-aluminium;/tube-rond-en-aluminium;Tube rond en aluminium;Tube rond en aluminium - légèreté, résistance à la corrosion et durabilité;subcategory;Tube Alu;T03 Catégorie feuille;200;oui;P1;Tube rond en aluminium;0;1;self;19-12-25;4;s0~p5~pg1~dc193;/aluminium/tubes/tube-rond;301
U056;https://www.aciersgrosjean.be/inox;/inox;Inox;Inox;category;Accueil;T02 Catégorie parent;200;oui;P0;Inox;0;1;self;09-07-26;2;s3~p6~pg8~dc182;/inox;conserver
U057;https://www.aciersgrosjean.be/tôle-inox;/tôle-inox;Tôle Inox;Tôles inox — planes & grain 320 brossé;subcategory;Inox;T02 Catégorie parent;200;oui;P1;Tôle Inox;0;1;self;07-07-26;3;s1~p6~pg2~dc318;/inox/toles;301
U058;https://www.aciersgrosjean.be/tôle-plane-en-inox-304-gr320;/tôle-plane-en-inox-304-gr320;Tôle plane en Inox 304 GR320;Tôle Inox 304L – Finition Brossée Grain 320;subcategory;Tôle Inox;T03 Catégorie feuille;200;oui;P1;Tôle plane en Inox 304 GR320;0;1;self;08-01-26;4;s0~p6~pg2~dc287;/inox/toles/tole-plane-304-brossee;301
U059;https://www.aciersgrosjean.be/produit-long-inox;/produit-long-inox;Produit long Inox;Produits longs inox : rond, cornières & plat;subcategory;Inox;T02 Catégorie parent;200;oui;P1;Produit long Inox;0;1;self;07-07-26;3;s3~p6~pg3~dc357;/inox/profiles;301
U060;https://www.aciersgrosjean.be/rond-plein-lisse-en-inox;/rond-plein-lisse-en-inox;Rond plein lisse en Inox;Rond plein lisse en Inox 304 | Haute Qualité;subcategory;Produit long Inox;T03 Catégorie feuille;200;oui;P1;Rond plein lisse en Inox;0;1;self;09-01-26;4;s0~p3~pg1~dc296;/inox/profiles/rond-plein;301
U061;https://www.aciersgrosjean.be/cornière-égale-en-inox;/cornière-égale-en-inox;Cornière égale en Inox;Cornière égale en Inox 304 – Rigidité et Protection Durable;subcategory;Produit long Inox;T03 Catégorie feuille;200;oui;P1;Cornière égale en Inox;0;1;self;09-01-26;4;s0~p5~pg1~dc252;/inox/profiles/corniere-egale;301
U062;https://www.aciersgrosjean.be/plat-en-inox;/plat-en-inox;Plat en Inox;Plat en Inox 304 – La référence pour vos finitions et structures;subcategory;Produit long Inox;T03 Catégorie feuille;200;oui;P1;Plat en Inox;0;1;self;09-01-26;4;s0~p6~pg2~dc304;/inox/profiles/plat;301
U063;https://www.aciersgrosjean.be/tube-inox;/tube-inox;Tube Inox;Tubes inox ronds, carrés et rectangulaires;subcategory;Inox;T02 Catégorie parent;200;oui;P1;Tube Inox;0;1;self;07-07-26;3;s3~p6~pg3~dc356;/inox/tubes;301
U064;https://www.aciersgrosjean.be/tube-rond-en-inox;/tube-rond-en-inox;Tube rond en Inox;Tube inox rond – performance et longévité au service des professionnels;subcategory;Tube Inox;T03 Catégorie feuille;200;oui;P1;Tube inox rond – robustesse et esthétisme pour vos projets professionnels;181;1;self;09-01-26;4;s0~p6~pg2~dc684;/inox/tubes/tube-rond;301
U065;https://www.aciersgrosjean.be/tube-rectangle-en-inox;/tube-rectangle-en-inox;Tube rectangle en Inox;Tube inox rectangulaire – la solution solide et polyvalente;subcategory;Tube Inox;T03 Catégorie feuille;200;oui;P1;Tube inox rectangulaire – résistance et polyvalence;190;1;self;09-01-26;4;s0~p1~pg1~dc580;/inox/tubes/tube-rectangulaire;301
U066;https://www.aciersgrosjean.be/tube-carré-en-inox;/tube-carré-en-inox;Tube carré en Inox;Tube inox carré – précision et solidité pour vos projets;subcategory;Tube Inox;T03 Catégorie feuille;200;oui;P1;Tube inox carré – robustesse et précision pour vos structures;183;1;self;09-01-26;4;s0~p6~pg1~dc631;/inox/tubes/tube-carre;301
U067;https://www.aciersgrosjean.be/toiture-bardage-2;/toiture-bardage-2;Toiture & Bardage;Toiture & Bardage;category;Accueil;T02 Catégorie parent;200;oui;P0;Toiture & Bardage;0;1;self;09-07-26;2;s6~p6~pg3~dc191;/toiture-bardage;301
U068;https://www.aciersgrosjean.be/tôle-profilée-non-isolée;/tôle-profilée-non-isolée;Tôle profilée non isolée;Tôle profilée non isolée : L'efficacité au meilleur prix;subcategory;Toiture & Bardage;T02 Catégorie parent;200;oui;P1;Tôle profilée non isolée;0;1;self;03-07-26;3;s2~p6~pg2~dc1043;/toiture-bardage/toles-profilees;301
U069;https://www.aciersgrosjean.be/toiture;/toiture;Toiture;Tôles profilées non isolées pour toiture;subcategory;Tôle profilée non isolée;T02 Catégorie parent;200;oui;P1;Toiture;0;1;self;06-07-26;4;s4~p6~pg2~dc380;/toiture-bardage/toles-profilees;301
U070;https://www.aciersgrosjean.be/profil-302001000;/profil-302001000;Profil 30.200.1000;Tôle profilée 30.200.1000 : Toiture et Bardage sur mesure;subcategory;Toiture;T03 Catégorie feuille;200;oui;P1;Profil 30.200.1000;0;1;self;03-07-26;5;s0~p6~pg2~dc906;/toiture-bardage/toles-profilees/profil-30-200-1000;301
U071;https://www.aciersgrosjean.be/panneau-tuile;/panneau-tuile;Panneau tuile;Panneau-tuiles acier — l'aspect tuile, la légèreté de l'acier;subcategory;Toiture;T03 Catégorie feuille;200;oui;P2;Panneau tuile;0;1;self;07-07-26;5;s0~p0~pg1~dc1080;/toiture-bardage/panneau-tuile;301 (page de contenu à réalimenter ou fusionner)
U072;https://www.aciersgrosjean.be/non-isolé;/non-isolé;Non isolé;Non isolé;subcategory;Toiture;T03 Catégorie feuille;200;oui;P2;Non isolé;0;1;self;0001-01-01;5;s0~p0~pg1~dc0;/toiture-bardage/toles-profilees;301 (fusion : catégorie vide)
U073;https://www.aciersgrosjean.be/anti-condensation;/anti-condensation;Anti-condensation;Anti-condensation;subcategory;Toiture;T03 Catégorie feuille;200;oui;P2;Anti-condensation;0;1;self;0001-01-01;5;s0~p0~pg1~dc0;/toiture-bardage/toles-profilees/feutre-anti-condensation;301 (fusion : catégorie vide)
U074;https://www.aciersgrosjean.be/bardage;/bardage;Bardage;Bardage acier — habillage de façade durable;subcategory;Tôle profilée non isolée;T02 Catégorie parent;200;oui;P1;Bardage;0;1;self;06-07-26;4;s3~p2~pg1~dc572;/toiture-bardage/bardage;301
U075;https://www.aciersgrosjean.be/imitation-bois;/imitation-bois;Imitation bois;Parement imitation bois | Chaleur du Bois - Durabilité de l'Acier;subcategory;Bardage;T03 Catégorie feuille;200;oui;P1;Bardage Métallique Imitation Bois 40x40 & 20x20 | Aciers Grosjean;300;1;self;06-07-26;5;s0~p2~pg1~dc888;/toiture-bardage/bardage/imitation-bois;301
U076;https://www.aciersgrosjean.be/isolée;/isolée;Isolée;Isolée;subcategory;Bardage;T03 Catégorie feuille;200;oui;P2;Isolée;0;1;self;0001-01-01;5;s0~p0~pg1~dc0;/toiture-bardage/panneaux-isoles;301 (fusion : catégorie vide)
U077;https://www.aciersgrosjean.be/non-isolée;/non-isolée;Non-isolée;Non-isolée;subcategory;Bardage;T03 Catégorie feuille;200;oui;P2;Non-isolée;0;1;self;0001-01-01;5;s0~p0~pg1~dc0;/toiture-bardage/bardage;301 (fusion : catégorie vide)
U078;https://www.aciersgrosjean.be/panneau-isolé;/panneau-isolé;Panneau isolé;"Tôles Isolées : Le confort thermique ""Tout-en-Un""";subcategory;Toiture & Bardage;T02 Catégorie parent;200;oui;P1;Panneau isolé;0;1;self;29-04-26;3;s1~p6~pg2~dc592;/toiture-bardage/panneaux-isoles;301
U079;https://www.aciersgrosjean.be/toiture-isolée;/toiture-isolée;Toiture isolée;Toiture Isolée : Alliez Étanchéité et Confort Thermique;subcategory;Panneau isolé;T02 Catégorie parent;200;oui;P1;Toiture isolée;0;1;self;29-04-26;4;s2~p6~pg2~dc607;/toiture-bardage/panneaux-isoles;301
U080;https://www.aciersgrosjean.be/panneau-eco;/panneau-eco;Panneau ECO;Panneau ECO Toiture Lattonedil Eurocopre® Monolamiera;subcategory;Toiture isolée;T03 Catégorie feuille;200;oui;P1;Panneau ECO;0;1;self;30-01-26;5;s0~p6~pg2~dc267;/toiture-bardage/panneaux-isoles/eurocopre-monolamiera-eco;301
U081;https://www.aciersgrosjean.be/ttack-toiture-plate;/ttack-toiture-plate;TTack – toiture plate;Lattonedil TTack® : L’Innovation Ultime pour Toitures Plates sans Membrane;subcategory;Toiture isolée;T03 Catégorie feuille;200;oui;P2;Lattonedil TTack | Panneau Toiture Plate sans Membrane (1% de pente);174;2;self;29-04-26;5;s0~p0~pg1~dc579;/toiture-bardage/panneaux-isoles/ttack-toiture-plate;301 (page de contenu à réalimenter ou fusionner)
U082;https://www.aciersgrosjean.be/tôle-profilée-non-isolée-avec-feutre-régulateur-de-condensation;/tôle-profilée-non-isolée-avec-feutre-régulateur-de-condensation;Tôle profilée non isolée avec feutre régulateur de condensation;Tôle profilée — feutre régulateur de condensation;subcategory;Toiture & Bardage;T03 Catégorie feuille;200;oui;P2;Tôle profilée non isolée avec feutre régulateur de condensation;0;1;self;07-07-26;3;s0~p0~pg1~dc501;/toiture-bardage/toles-profilees/feutre-anti-condensation;301 (page de contenu à réalimenter ou fusionner)
