type;chemin;niveau;nom_page;nb_produits_listes;pages_pagination;sous_categories;url
categorie;Acier > Tôle > Tôle perforée;3;Tôles Perforées en Acier et Acier Galvanisé : Trous Ronds, Carrés et Aléatoires;8;2;;https://www.aciersgrosjean.be/tôle-perforée
categorie;Acier > Tôle > Tôle quarto;3;Tôle quarto - Grande résistance mécanique;1;1;;https://www.aciersgrosjean.be/tôle-quarto
categorie;Acier > Tôle > Tôle électrozinguée;3;Tôle électrozinguée;0;1;;https://www.aciersgrosjean.be/tôle-électrozinguée
categorie;Aluminium;1;Aluminium;62;11;;https://www.aciersgrosjean.be/aluminium
categorie;Aluminium > Produit long en Aluminium;2;Profilés aluminium : cornières, U, T, ronds, carrés & plats;26;5;;https://www.aciersgrosjean.be/produit-long-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Carré plein en aluminium;3;Profil carré plein en aluminium – robuste, polyvalent et résistant;0;1;;https://www.aciersgrosjean.be/carré-plein-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Cornière inégale en aluminium;3;Cornière inégale en aluminium;0;1;;https://www.aciersgrosjean.be/cornière-inégale-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Cornière égale en aluminium;3;Cornière égale en aluminium;8;2;;https://www.aciersgrosjean.be/cornière-égale-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Plat en aluminium;3;Profil plat en aluminium – léger, robuste et polyvalent.;11;2;;https://www.aciersgrosjean.be/plat-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Profil en T en aluminium;3;Profil en T en aluminium - Léger, résistant & polyvalent;3;1;;https://www.aciersgrosjean.be/profil-en-t-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Profil en U en Aluminium;3;Profil en U en Aluminium;4;1;;https://www.aciersgrosjean.be/profil-en-u-en-aluminium
categorie;Aluminium > Produit long en Aluminium > Profil rond lisse en aluminium;3;Profil rond lisse en aluminium;0;1;;https://www.aciersgrosjean.be/profil-rond-lisse-en-aluminium
categorie;Aluminium > Tole Alu;2;Tole Alu;18;3;;https://www.aciersgrosjean.be/tole-alu-2
categorie;Aluminium > Tole Alu > Tôle bouchonnée en aluminium;3;Tôle bouchonnée en aluminium;0;1;;https://www.aciersgrosjean.be/tôle-bouchonnée-en-aluminium
categorie;Aluminium > Tole Alu > Tôle plane en Aluminium;3;Tôle plane en Aluminium;9;2;;https://www.aciersgrosjean.be/tôle-plane-en-aluminium-2
categorie;Aluminium > Tole Alu > Tôle striée en aluminium;3;Tôle striée en aluminium;9;2;;https://www.aciersgrosjean.be/tôle-striée-en-aluminium
categorie;Aluminium > Tube Alu;2;Tubes aluminium : rond, carré, rectangulaire;18;3;;https://www.aciersgrosjean.be/tube-alu
categorie;Aluminium > Tube Alu > Tube carré en aluminium;3;Tube carré en aluminium - Robuste, léger et polyvalent;8;2;;https://www.aciersgrosjean.be/tube-carré-en-aluminium
categorie;Aluminium > Tube Alu > Tube rectangle en aluminium;3;Tube rectangle en aluminium - Robuste, léger et polyvalent;5;1;;https://www.aciersgrosjean.be/tube-rectangle-en-aluminium
categorie;Aluminium > Tube Alu > Tube rond en aluminium;3;Tube rond en aluminium - légèreté, résistance à la corrosion et durabilité;5;1;;https://www.aciersgrosjean.be/tube-rond-en-aluminium
categorie;Clôture & jardin;1;Clôtures Rigides : Sécurité et Qualité chez Aciers Grosjean;37;7;;https://www.aciersgrosjean.be/clôture-jardin-2
categorie;Clôture & jardin > Aménagement;2;Aménagement Extérieur & Design de Jardin | L'Acier au Service de vos Espaces Verts;2;1;;https://www.aciersgrosjean.be/aménagement
categorie;Clôture & jardin > Aménagement > Bordure Corten et Galva;3;Bordures de jardins | Le choix de l'acier Corten ou galvanisé pour la longévité;2;1;;https://www.aciersgrosjean.be/bordure-corten-et-galva
categorie;Clôture & jardin > Clôture;2;Ensembles Clôtures, Poteaux et Fixations : La Solution Complète Aciers Grosjean;35;6;;https://www.aciersgrosjean.be/clôture
categorie;Clôture & jardin > Clôture > Fixation clôture;3;Fixations et Accessoires de Clôture : Quincaillerie de Pose Professionnelle;5;1;;https://www.aciersgrosjean.be/fixation-clôture
categorie;Clôture & jardin > Clôture > Panneaux clôture;3;Clôtures Rigides : Sécurité et Qualité chez Aciers Grosjean;13;3;;https://www.aciersgrosjean.be/panneaux-clôture
categorie;Clôture & jardin > Clôture > Poteaux clôture;3;Poteaux de Clôture en Acier : Robustesse et Systèmes de Fixation Professionnels;17;3;;https://www.aciersgrosjean.be/poteaux-clôture
categorie;Inox;1;Inox;43;8;;https://www.aciersgrosjean.be/inox
categorie;Inox > Produit long Inox;2;Produits longs inox : rond, cornières & plat;18;3;;https://www.aciersgrosjean.be/produit-long-inox
categorie;Inox > Produit long Inox > Cornière égale en Inox;3;Cornière égale en Inox 304 – Rigidité et Protection Durable;5;1;;https://www.aciersgrosjean.be/cornière-égale-en-inox
categorie;Inox > Produit long Inox > Plat en Inox;3;Plat en Inox 304 – La référence pour vos finitions et structures;10;2;;https://www.aciersgrosjean.be/plat-en-inox
categorie;Inox > Produit long Inox > Rond plein lisse en Inox;3;Rond plein lisse en Inox 304 | Haute Qualité;3;1;;https://www.aciersgrosjean.be/rond-plein-lisse-en-inox
categorie;Inox > Tube Inox;2;Tubes inox ronds, carrés et rectangulaires;15;3;;https://www.aciersgrosjean.be/tube-inox
categorie;Inox > Tube Inox > Tube carré en Inox;3;Tube inox carré – précision et solidité pour vos projets;6;1;;https://www.aciersgrosjean.be/tube-carré-en-inox
categorie;Inox > Tube Inox > Tube rectangle en Inox;3;Tube inox rectangulaire – la solution solide et polyvalente;1;1;;https://www.aciersgrosjean.be/tube-rectangle-en-inox
categorie;Inox > Tube Inox > Tube rond en Inox;3;Tube inox rond – performance et longévité au service des professionnels;8;2;;https://www.aciersgrosjean.be/tube-rond-en-inox
categorie;Inox > Tôle Inox;2;Tôles inox — planes & grain 320 brossé;10;2;;https://www.aciersgrosjean.be/tôle-inox
categorie;Inox > Tôle Inox > Tôle plane en Inox 304 GR320;3;Tôle Inox 304L – Finition Brossée Grain 320;10;2;;https://www.aciersgrosjean.be/tôle-plane-en-inox-304-gr320
categorie;Quincaillerie & ferronnerie;1;Quincaillerie & ferronnerie;43;8;;https://www.aciersgrosjean.be/quincaillerie-ferronnerie-2
categorie;Quincaillerie & ferronnerie > Quincaillerie;2;Quincaillerie | Solutions de Montage, Finition et Protection pour l'Acier;43;8;;https://www.aciersgrosjean.be/quincaillerie
categorie;Quincaillerie & ferronnerie > Quincaillerie > Chimie du bâtiment;3;Chimie du Bâtiment : Protection, Finition et Étanchéité des Métaux;17;3;;https://www.aciersgrosjean.be/chimie-du-bâtiment
categorie;Quincaillerie & ferronnerie > Quincaillerie > Chimie du bâtiment > Couleur;4;Couleur et Finition : Primaires et Peintures Techniques;6;1;;https://www.aciersgrosjean.be/couleur
categorie;Quincaillerie & ferronnerie > Quincaillerie > Chimie du bâtiment > Zinc;4;Zinc et Galvanisation à Froid : Système Anti-Corrosion Zinga;7;2;;https://www.aciersgrosjean.be/zinc
categorie;Quincaillerie & ferronnerie > Quincaillerie > Chimie du bâtiment > colle / étanchéité;4;Colle et Étanchéité : Solutions Professionnelles DL Chemicals;4;1;;https://www.aciersgrosjean.be/colle-étanchéité
categorie;Quincaillerie & ferronnerie > Quincaillerie > Escalier et caillebotis;3;Marches d'Escaliers et planchers en Caillebotis et Securit;19;4;;https://www.aciersgrosjean.be/escalier-et-caillebotis
categorie;Quincaillerie & ferronnerie > Quincaillerie > Outillage;3;Outillage;1;1;;https://www.aciersgrosjean.be/outillage
categorie;Quincaillerie & ferronnerie > Quincaillerie > Visserie;3;Visserie et Fixations pour Toiture : La performance au service de vos travaux;6;1;;https://www.aciersgrosjean.be/visserie-2
categorie;Toiture & Bardage;1;Toiture & Bardage;17;3;;https://www.aciersgrosjean.be/toiture-bardage-2
categorie;Toiture & Bardage > Catalogue toiture bardage;2;Catalogue Toiture & Bardage : tôles, panneaux isolés & fiches techniques;0;1;;https://www.aciersgrosjean.be/catalogue-toiture-et-bardage
categorie;Toiture & Bardage > Panneau isolé;2;"Tôles Isolées : Le confort thermique ""Tout-en-Un""";8;2;;https://www.aciersgrosjean.be/panneau-isolé
categorie;Toiture & Bardage > Panneau isolé > Toiture isolée;3;Toiture Isolée : Alliez Étanchéité et Confort Thermique;8;2;;https://www.aciersgrosjean.be/toiture-isolée
categorie;Toiture & Bardage > Panneau isolé > Toiture isolée > Panneau ECO;4;Panneau ECO Toiture Lattonedil Eurocopre® Monolamiera;8;2;;https://www.aciersgrosjean.be/panneau-eco
categorie;Toiture & Bardage > Panneau isolé > Toiture isolée > TTack – toiture plate;4;Lattonedil TTack® : L’Innovation Ultime pour Toitures Plates sans Membrane;0;1;;https://www.aciersgrosjean.be/ttack-toiture-plate
categorie;Toiture & Bardage > Panneau-tuile;2;Panneau-tuile;0;1;;https://www.aciersgrosjean.be/panneau-tuile-2
categorie;Toiture & Bardage > Panneau-tuile > Isolé;3;Isolé;0;1;;https://www.aciersgrosjean.be/isolé
categorie;Toiture & Bardage > Panneau-tuile > Non-isolé tuile;3;Non-isolé tuile;0;1;;https://www.aciersgrosjean.be/non-isolé-tuile
categorie;Toiture & Bardage > Tôle profilée non isolée;2;Tôle profilée non isolée : L'efficacité au meilleur prix;9;2;;https://www.aciersgrosjean.be/tôle-profilée-non-isolée
categorie;Toiture & Bardage > Tôle profilée non isolée > Bardage;3;Bardage acier — habillage de façade durable;2;1;;https://www.aciersgrosjean.be/bardage
categorie;Toiture & Bardage > Tôle profilée non isolée > Bardage > Imitation bois;4;Parement imitation bois | Chaleur du Bois - Durabilité de l'Acier;2;1;;https://www.aciersgrosjean.be/imitation-bois
categorie;Toiture & Bardage > Tôle profilée non isolée > Bardage > Isolée;4;Isolée;0;1;;https://www.aciersgrosjean.be/isolée
categorie;Toiture & Bardage > Tôle profilée non isolée > Bardage > Non-isolée;4;Non-isolée;0;1;;https://www.aciersgrosjean.be/non-isolée
categorie;Toiture & Bardage > Tôle profilée non isolée > Toiture;3;Tôles profilées non isolées pour toiture;7;2;;https://www.aciersgrosjean.be/toiture
categorie;Toiture & Bardage > Tôle profilée non isolée > Toiture > Anti-condensation;4;Anti-condensation;0;1;;https://www.aciersgrosjean.be/anti-condensation
categorie;Toiture & Bardage > Tôle profilée non isolée > Toiture > Non isolé;4;Non isolé;0;1;;https://www.aciersgrosjean.be/non-isolé
categorie;Toiture & Bardage > Tôle profilée non isolée > Toiture > Panneau tuile;4;Panneau-tuiles acier — l'aspect tuile, la légèreté de l'acier;0;1;;https://www.aciersgrosjean.be/panneau-tuile
categorie;Toiture & Bardage > Tôle profilée non isolée > Toiture > Profil 30.200.1000;4;Tôle profilée 30.200.1000 : Toiture et Bardage sur mesure;7;2;;https://www.aciersgrosjean.be/profil-302001000
categorie;Toiture & Bardage > Tôle profilée non isolée avec feutre régulateur de condensation;2;Tôle profilée — feutre régulateur de condensation;0;1;;https://www.aciersgrosjean.be/tôle-profilée-non-isolée-avec-feutre-régulateur-de-condensation
categorie;Toiture & Bardage > Tôle profilée tuile;2;Tôle profilée tuile;0;1;;https://www.aciersgrosjean.be/tôle-profilée-tuile
categorie;temp;1;temp;0;1;;https://www.aciersgrosjean.be/temp
